Subject,Start Date
Conrad II campaigns in Poland,03/13/1027
Yaroslav the Wise strengthens Kievan Rus,09/29/1027
Viking raids on Scotland intensify under Canute,01/17/1028
Canute the Great conquers Norway from Olaf II,11/08/1028
Romanos III Argyros becomes Byzantine Emperor,11/12/1028
"Mahmud of Ghazni dies, Masud I becomes sultan of Ghaznavid Empire",03/15/1029
Casimir I restores Polish kingdom,08/15/1029
"Byzantine Empire annexes Ani, Armenian capital",10/26/1029
"Mahmud of Ghazni dies, Masud I succeeds",04/30/1030
Battle of Stiklestad - Olaf II of Norway killed,07/29/1030
Kingdom of Aragon founded in Iberia,09/07/1030
Crown of Castile founded,10/18/1030
"Hisham III, last Caliph of Cordoba, deposed",04/13/1031
Henry I becomes king of France,09/29/1031
Caliphate of Cordoba collapses into taifa kingdoms,12/16/1031
"Al-Qadir Billah, Abbasid Caliph, dies in Baghdad",03/31/1032
Conrad II becomes king of Burgundy,06/10/1032
Kingdom of Burgundy absorbed into Holy Roman Empire,09/11/1032
Famine across Europe following crop failures,02/10/1033
Canute the Great grants privileges to English church,05/10/1033
Millennial panic spreads over 1000 years since Christ's death,05/15/1033
Byzantine Emperor Romanos III assassinated,04/11/1034
Duncan I becomes king of Scotland,08/11/1034
Malcolm II of Scotland dies,11/25/1034
Kingdom of Castile becomes independent under Ferdinand I,02/17/1035
Crown of Aragon founded,04/20/1035
William the Conqueror (Duke William) becomes Duke of Normandy,08/23/1035
"Canute the Great dies, England divided among sons",11/12/1035
Mieszko II Lambert of Poland abdicates,06/16/1036
Seljuk Turks defeat Ghaznavids at Battle of Nasa,10/01/1036
Harold Harefoot becomes king of England,11/10/1036
Seljuk Turks take Merv and Nishapur,06/12/1037
"Avicenna (Ibn Sina) dies, Persian polymath",06/22/1037
Ferdinand I unites Leon and Castile,07/28/1037
Seljuk Empire founded,07/28/1037
Western Xia dynasty founded,04/28/1038
George Maniakes leads Byzantine campaign in Sicily,08/09/1038
"Stephen I of Hungary dies, first Christian king of Hungary",08/15/1038
Seljuk Turks under Tughril control Khorasan,12/12/1038
"Conrad II, Holy Roman Emperor dies",06/04/1039
Henry III becomes Holy Roman Emperor,09/05/1039
"Harold Harefoot of England dies, Harthacnut becomes king",09/18/1039
Duncan I of Scotland slain; Macbeth succeeds him,02/13/1040
Battle of Dandanaqan - Seljuks defeat Ghaznavids decisively,05/23/1040
"Macbeth kills Duncan I, becomes king of Scotland",08/14/1040
Harthacnut becomes king of England,11/08/1040
Byzantine general George Maniakes captures Edessa,05/04/1041
Seljuk Turks formally establish control over Khorasan,06/17/1041
Bi Sheng invents ceramic movable type printing,11/07/1041
"Michael IV the Paphlagonian, Byzantine Emperor, dies",12/10/1041
"Harthacnut dies, end of Danish rule in England",06/08/1042
Edward the Confessor becomes king of England,09/30/1042
Byzantine Empress Zoe restores Macedonian dynasty,12/31/1042
Viking attack on Constantinople repulsed,01/16/1043
Casimir I restores Krakow as Polish capital,10/24/1043
Battle of Tefnek - Seljuks defeat Byzantine forces,03/14/1044
Henry III defeats Hungarian king Peter at Battle of Menfo,07/05/1044
Pagan Kingdom of Burma founded by Anawrahta,07/25/1044
Pope Gregory VI purchases papacy from Benedict IX,03/05/1045
Casimir I of Poland recaptures Silesia from Bohemia,06/25/1045
Three popes simultaneously claim papacy (scandal),10/09/1045
Synod of Sutri - Henry III deposes three rival popes,12/20/1046
"Clement II becomes pope, beginning of German-controlled papacy",12/25/1046
Henry III crowned Holy Roman Emperor,12/25/1046
Tughril of the Seljuks takes Ray and Isfahan,01/24/1047
Battle of Val-es-Dunes - William of Normandy crushes rebellion,04/15/1047
"Magnus the Good of Norway dies, Harald Hardrada succeeds",10/25/1047
Massive earthquake in Tabriz kills thousands,04/16/1048
"Al-Biruni, Persian scholar and polymath, dies",07/10/1048
Pope Damasus II dies after only 23 days as pope,08/09/1048
"Leo IX becomes pope, begins Church reform movement",02/12/1049
Seljuk raids into Byzantine Armenia intensify,06/02/1049
Council of Reims condemns simony and clerical marriage,10/03/1049
William of Normandy marries Matilda of Flanders,05/21/1050
Anawrahta of Pagan converts to Theravada Buddhism,08/14/1050
Normans begin conquering southern Italy from Byzantines,08/30/1050
Edward the Confessor exiles Earl Godwin of Wessex,05/25/1051
Tughril Beg extends Seljuk control to Azerbaijan,09/16/1051
Normans capture Benevento from Byzantine Italy,12/14/1051
Seljuk Turks sack Byzantine city of Manzikert for first time,01/14/1052
Normans take Capua in southern Italy,02/20/1052
Earl Godwin returns to England and regains power,10/28/1052
"Earl Godwin of Wessex dies, Harold Godwinson inherits earldom",04/15/1053
Pope Leo IX dies in Norman captivity,04/19/1053
Battle of Civitate - Normans capture Pope Leo IX,06/18/1053
Yaroslav the Wise of Kievan Rus dies,02/20/1054
Supernova explosion creates Crab Nebula (observed by Chinese astronomers),07/04/1054
Great Schism - mutual excommunications split Catholic and Orthodox Christianity,07/16/1054
Supernova observed - remnants form Crab Nebula,08/15/1054
Great Schism - Catholic and Orthodox churches split,08/31/1054
Seljuk Turks capture Baghdad,02/05/1055
Pope Victor II elected,08/27/1055
Seljuk Turks end Buyid dynasty control of Baghdad,10/21/1055
Ferdinand I of León expands Castilian territory,06/15/1056
Seljuk Turks consolidate control of Baghdad,07/18/1056
Agnes of Poitiers becomes regent for young Henry IV,08/10/1056
"Lullus becomes first Archbishop of Mainz, canonized later",05/06/1057
Macbeth killed at Battle of Lumphanan by Malcolm Canmore,08/15/1057
Isaac I Komnenos becomes Byzantine Emperor,09/01/1057
"Pope Nicholas II elected, reforming papacy",03/30/1058
Malcolm III (Canmore) becomes king of Scotland,06/21/1058
"Gerard of Cremona born, translator of Arabic texts to Latin",11/12/1058
Papal Election Decree - College of Cardinals established,04/13/1059
Robert Guiscard acknowledged Norman ruler of southern Italy by Pope,06/16/1059
Alp Arslan becomes sultan of Seljuk Empire,08/22/1059
Normans begin conquest of Muslim Sicily under Roger I,02/08/1060
Henry I of France dies,08/04/1060
Philip I becomes king of France,08/04/1060
Almoravid dynasty begins expansion from Morocco,09/29/1061
Pope Alexander II elected,09/30/1061
Norman conquest of Sicily begins,10/31/1061
Normans capture Messina in Sicily,11/10/1061
Almoravids found Marrakech as their capital,04/11/1062
Alp Arslan extends Seljuk Empire into Syria and Palestine,07/07/1062
Anno II of Cologne kidnaps young Henry IV of Germany,12/15/1062
"Tughril Beg, founder of Seljuk Empire, dies",03/17/1063
Alp Arslan captures Armenian city of Ani,09/24/1063
"Ferdinand I of Leon and Castile dies, kingdom divided",12/27/1063
"Harold Godwinson visits Normandy, allegedly swears oath to William",02/05/1064
"Seljuk Turks sack the city of Ani, killing thousands",03/10/1064
Comet observed in China and Europe (possibly Halley's),04/27/1064
Seljuk raids devastate Anatolia and Armenia,06/08/1065
Sancho II becomes king of Castile,08/23/1065
Westminster Abbey consecrated by Edward the Confessor,12/28/1065
"Edward the Confessor dies, Harold Godwinson becomes king of England",01/05/1066
Battle of Hastings - Norman conquest of England,05/04/1066
Battle of Stamford Bridge - Harold defeats Norse invasion under Harald Hardrada,09/25/1066
Battle of Hastings - William the Conqueror defeats Harold II,10/14/1066
William the Conqueror crowned King of England,12/25/1066
Eudokia Makrembolitissa serves as regent for Byzantine Empire,02/07/1067
Romanos IV Diogenes becomes Byzantine Emperor,06/25/1067
William the Conqueror begins building Tower of London,10/25/1067
Seljuk expansion into Anatolia continues,07/04/1068
William the Conqueror suppresses rebellion in northern England,11/24/1068
Exeter submits to William the Conqueror,12/27/1068
"Danish fleet aids English rebels, then withdraws",03/18/1069
Norman conquest of England essentially complete,04/29/1069
Harrying of the North - William devastates northern England,10/30/1069
Lanfranc becomes Archbishop of Canterbury under William I,04/05/1070
Seljuk Turks under Alp Arslan enter Anatolia,08/09/1070
Hereward the Wake leads last English resistance against Normans,12/13/1070
"Normans capture Bari, ending Byzantine rule in Italy",04/16/1071
Seljuk control over Jerusalem begins,05/19/1071
Battle of Manzikert - Byzantine defeat by Seljuks,10/19/1071
"Normans complete conquest of Sicily, take Palermo",01/10/1072
Maliki fiqh school of Islamic law codified in North Africa,08/30/1072
"Alp Arslan, Seljuk Sultan, assassinated",11/15/1072
"Gregory VII becomes pope, launches Gregorian Reform",04/22/1073
Malik Shah I becomes sultan of Seljuk Empire,09/05/1073
Normans invade Byzantine Balkans,10/15/1073
Gregory VII excommunicates married clergy and simonists,01/23/1074
Byzantine Emperor Michael VII appeals to Pope Gregory VII for help,01/31/1074
Almoravids cross into Spain for first time,03/25/1074
Seljuk Turks capture Jerusalem from Fatimids,06/01/1074
Seljuk Empire reaches its greatest extent under Malik Shah I,01/16/1075
Investiture Controversy begins - Pope Gregory VII bans lay investiture,02/22/1075
Gregory VII issues Dictatus Papae asserting papal supremacy,03/09/1075
Investiture Controversy begins,04/18/1075
Henry IV deposed by Gregory VII at Diet of Worms,01/18/1076
Pope Gregory VII excommunicates Henry IV,02/22/1076
Seljuk Turks take Damascus and expand into Palestine,10/12/1076
Ghana Empire attacked by Almoravids,12/03/1076
Walk to Canossa - Henry IV does penance to Gregory VII,01/25/1077
Pope Gregory VII lifts excommunication of Henry IV,01/28/1077
Rudolf of Swabia elected anti-king in Germany,03/15/1077
Walk to Canossa by Henry IV,04/04/1077
"Nikephoros III Botaneiates deposes Michael VII, becomes Byzantine Emperor",04/16/1078
"Anna Comnena born, Byzantine princess and historian",09/15/1078
Henry IV campaigns against German princes,11/20/1078
Battle of Flarchheim - Henry IV defeats rival king Rudolf,01/27/1079
Pope Gregory VII again excommunicates Henry IV,06/29/1079
Seljuk Turks take Antioch,08/14/1079
Henry IV sets up anti-pope Clement III,06/25/1080
Alexios I Komnenos seizes Byzantine throne,08/16/1080
Rudolf of Swabia dies at Battle of the Elster,10/15/1080
Henry IV invades Italy to fight Pope Gregory VII,04/14/1081
Robert Guiscard invades Byzantine territory in Balkans,08/16/1081
Henry IV lays siege to Rome,02/11/1082
Venice granted trading rights in Byzantine Empire by Alexios I,06/03/1082
Robert Guiscard wins Battle of Dyrrachium against Byzantines,10/18/1082
Henry IV captures Rome,09/14/1083
Alfonso VI of Castile captures Toledo from Muslims,10/25/1083
Seljuk vizier Nizam al-Mulk establishes madrasas (Nizamiyya) across empire,12/22/1083
Henry IV crowned by anti-pope Clement III,03/31/1084
"Robert Guiscard sacks Rome, rescues Gregory VII",08/20/1084
"Pope Gregory VII flees Rome, calls on Robert Guiscard for help",10/14/1084
Zizhi Tongjian historical work compiled by Sima Guang,10/26/1084
"Alfonso VI of Leon captures Toledo, major Christian victory in Spain",05/25/1085
Pope Gregory VII dies in exile at Salerno,05/25/1085
"Robert Guiscard, Norman conqueror of Italy, dies",07/17/1085
Almoravid intervention in Spain begins,02/13/1086
Battle of Sagrajas - Almoravids defeat Alfonso VI of Castile,10/23/1086
Domesday Book compiled by order of William I,11/01/1086
"William the Conqueror dies at Rouen, England passes to William II",09/09/1087
William II Rufus becomes king of England,09/26/1087
"Pope Victor III elected, continues reform movement",12/21/1087
"Pope Urban II elected, key figure in First Crusade",03/12/1088
Shen Kuo makes first reference to magnetic compass,03/22/1088
Henry IV suppresses rebellion in Germany,05/17/1088
University of Bologna established,07/24/1088
Alexios I defeats Pechenegs in Balkans,01/22/1089
Georgia under David IV begins recovery from Seljuk domination,03/05/1089
Malik Shah I completes Seljuk conquest of Syria,06/26/1089
Almoravids complete takeover of Muslim Spain,02/08/1090
"Conrad, son of Henry IV, rebels against his father",02/14/1090
Hassan-i Sabbah establishes Assassins (Nizari Ismaili) at Alamut,04/03/1090
Almoravids take Granada,04/18/1091
Battle of Levounion - Alexios I defeats Pechenegs decisively,04/29/1091
Normans complete conquest of Sicily,10/02/1091
Seljuk Empire breaks into rival sultanates,02/07/1092
"Nizam al-Mulk, Seljuk vizier, assassinated by Assassins",10/14/1092
"Malik Shah I, Seljuk Sultan, dies - empire begins to fracture",11/19/1092
Anselm of Canterbury becomes Archbishop of Canterbury,11/09/1093
Seljuk civil wars begin after Malik Shah's death,11/09/1093
Malcolm III of Scotland killed in England,11/13/1093
Pope Urban II enters Rome,01/07/1094
El Cid (Rodrigo Diaz de Vivar) captures Valencia from Moors,01/28/1094
Byzantine Emperor Alexios I loses much of Anatolia to Seljuks,05/25/1094
El Cid conquers Valencia,10/18/1094
Pope Urban II calls First Crusade,01/01/1095
People's Crusade - Peter the Hermit leads masses toward Jerusalem,05/01/1095
Alexios I appeals to Pope for military help against Seljuks,09/12/1095
Crusaders defeat Seljuks at Battle of Nicaea,02/24/1096
People's Crusade massacres Jews in Rhine Valley,07/28/1096
First Crusade departs from Europe,08/15/1096
University of Oxford holds first lectures,09/05/1096
Crusaders capture Nicaea from Seljuks,06/19/1097
Battle of Dorylaeum - Crusaders defeat Seljuk Turks,07/01/1097
Crusaders begin siege of Antioch,10/21/1097
"County of Edessa established, first Crusader state",01/11/1098
Principality of Antioch founded,01/21/1098
County of Edessa (First Crusader state) founded,04/15/1098
Battle of the Lance - Crusaders defeat Kerbogha at Antioch,06/28/1098
Siege of Antioch during First Crusade,10/27/1098
Kingdom of Jerusalem founded,04/26/1099
"Crusaders capture Jerusalem, First Crusade concludes",07/15/1099
Godfrey of Bouillon becomes first ruler of Kingdom of Jerusalem,07/22/1099
Battle of Ascalon - Crusaders defeat Fatimid Egypt,08/12/1099
Siege of Jerusalem by European Crusaders,10/15/1099
"William II of England killed in hunting accident, Henry I becomes king",08/02/1100
Henry I crowned King of England,08/05/1100
Firearms invented,08/29/1100
Henry I of England issues Charter of Liberties,11/01/1100
Baldwin of Boulogne crowned first King of Jerusalem,12/25/1100
Roger I of Sicily dies,06/22/1101
Treaty of Alton signed between Henry I of England and Robert of Normandy,07/21/1101
Baldwin I of Jerusalem defeats Egyptians at Ramleh,09/07/1101
"Crusade of 1101 fails, armies destroyed by Seljuks in Anatolia",09/20/1101
Bohemia becomes a duchy under Holy Roman Empire,03/12/1102
County of Tripoli founded,05/13/1102
Baldwin I of Jerusalem defeats Egyptians again at Second Battle of Ramleh,05/17/1102
Crusaders lose Battle of Ramleh to Fatimids,05/17/1102
Alexios I Byzantine Emperor campaigns in Asia Minor,01/25/1103
Crusader principality of Antioch established under Bohemond,01/29/1103
Magnus Barelegs of Norway killed in Ireland,08/24/1103
Venice attacks Byzantine islands at instigation of Normans,04/30/1104
Bohemond I of Antioch captured at Harran,05/07/1104
Battle of Harran - Crusaders suffer major defeat against Muslims,05/07/1104
"Henry IV abdicates as Holy Roman Emperor, Henry V succeeds",02/06/1105
Almoravid ruler Yusuf ibn Tashfin dies,09/02/1105
Crusaders take Acre,10/15/1105
Henry V crowned King of Germany,02/03/1106
Crusaders in Syria consolidate holdings,08/03/1106
Battle of Tinchebray - Henry I of England defeats Duke Robert of Normandy,09/28/1106
Crusaders raid as far as Mesopotamia,03/19/1107
"Scotland: King Edgar dies, Alexander I succeeds",04/19/1107
Investiture Controversy continues between Henry V and Pope Paschal II,11/23/1107
Treaty of Deabolis ends Norman-Byzantine war,07/22/1108
Louis VI becomes king of France,08/03/1108
Tancred becomes regent of Antioch,12/20/1108
El Cid's widow Jimena surrenders Valencia to Almoravids,05/08/1109
Alfonso VI of Castile dies,07/01/1109
"Crusaders capture Tripoli, establish County of Tripoli",07/12/1109
Henry V invades Italy to confront Pope Paschal II,11/21/1110
Crusaders capture Sidon and Beirut,11/25/1110
Norwegian Crusade of Sigurd I visits Jerusalem,12/10/1110
"Pope Paschal II captured by Henry V, Concordat of Sutri signed",02/12/1111
Henry V crowned Holy Roman Emperor by coerced Pope Paschal II,04/13/1111
Sigurd I of Norway visits Constantinople and Jerusalem,10/27/1111
Alfonso I of Aragon marries Urraca of Castile,01/10/1112
Almohad movement founded by Ibn Tumart in Morocco,07/03/1112
Concordat of Sutri repudiated by Lateran Council,08/15/1112
Vladimir Monomakh becomes Grand Prince of Kiev,01/21/1113
Ibn Tumart begins preaching Almohad doctrine,06/17/1113
Order of the Knights Hospitaller founded,12/14/1113
Crusaders defeated at Battle of Sennabra,02/01/1114
Earthquake in Syria damages Crusader cities,07/28/1114
"Matilda, daughter of Henry I, married to Holy Roman Emperor Henry V",12/26/1114
